facility_id,facility_name,region,woreda,zone,facility_type,phone,latitude,longitude,owner_type
DHIS2_000362,Nifa Silk Referral Hospital,SNNPR,Hosaena,Zone 5,Referral Hospital,09826406440,13.748720711114075,41.74899776719568,Public
DHIS2_000074,Kirkos Health Post,Addis Ababa,Arada,Zone 3,Health Post,09616195200,5.968177220918372,39.7581620296514,Public
DHIS2_000375,Addis Ababa Clinic,Amhara,Mekelle,Zone 2,Clinic,09682789684,4.578219202996535,45.85694339784423,NGO
DHIS2_000156,Hawass Dispensary,Oromia,Adama,Zone 4,Dispensary,09310605409,6.948616384438452,46.97384232478485,NGO
DHIS2_000105,Kirko Health Center,SNNPR,Hosaena,Zone 5,Health Center,09721606243,4.23499236892974,41.04722027226892,NGO
DHIS2_000395,Hawass Health Center,Amhara,Bahir Dar,Zone 3,Health Center,09435589001,5.299115348817909,46.773586300131555,NGO
DHIS2_000378,Hosaena Dispensary,Amhara,Bahir Dar,Zone 5,Dispensary,09323721794,6.493730973422148,36.10642377264857,Public
DHIS2_000125,Bole Hospital,Oromia,Bishoftu,Zone 4,Hospital,09184380340,7.142305738575307,44.6075178480201,NGO
DHIS2_000069,Adama Health Center,Oromia,Adama,Zone 5,Health Center,09837345820,7.934480650466234,42.04172823034948,Private
DHIS2_000451,Dessie Health Center,Amhara,Gondar,Zone 2,Health Center,09786630655,8.948445002782693,46.99690851612463,Public
DHIS2_000010,Dessie Health Center,Addis Ababa,Arada,Zone 3,Health Center,09158170987,3.187636880894327,39.351022210595545,NGO
DHIS2_000195,Bahir Dar Hospital,Oromia,Dire Dawa,Zone 4,Hospital,09897901550,12.381483958140352,43.580783911683056,NGO
DHIS2_000407,Duke HC,Oromia,Dukem,Zone 2,HC,09324749151,12.367580609106685,41.75659170771168,Private
DHIS2_000085,Addis Ababa Clinic,SNNPR,Arba Minch,Zone 2,Clinic,09732937902,11.9791162846039,35.76781529034566,NGO
DHIS2_000372,Addis Ababa Referral Hospitalital,Addis Ababa,Bole,Zone 5,Referral Hospital,09712338377,12.384184019195608,41.15708591799356,Public
DHIS2_000389,Butajira Clinic,SNNPR,Butajira,Zone 3,Clinic,09677066688,12.277068500369595,37.64999905757684,NGO
DHIS2_000496,Dessi Referral Hospital,Amhara,Bahir Dar,Zone 4,Referral Hospital,09555143490,4.579843065519101,45.820551751397964,NGO
DHIS2_000031,Butajir Clinic,Addis Ababa,Addis Ketema,Zone 4,Clinic,09158491183,13.190680925930135,42.86419338450515,NGO
DHIS2_000317,Addis Ababa Clinic,Oromia,Adama,Zone 1,Clinic,09122545745,10.609248376515975,34.0639832420066,Public
DHIS2_000409,Dire Dawa Health Post,Oromia,Adama,Zone 3,HP,09251701479,14.66903998848124,39.73220468619909,Private
DHIS2_000491,Addis Ababa General Hospital,Oromia,Adama,Zone 2,General Hospital,09712873524,14.810813990813207,38.93561945360689,Public
DHIS2_000492,Adam HC,SNNPR,Hawassa,Zone 5,HC,09760448489,11.006548046330172,44.655739284776345,Public
DHIS2_000281,Hawassa Health Center,Addis Ababa,Addis Ketema,Zone 3,Health Center,09768835615,12.262292714179456,34.2963691614382,NGO
DHIS2_000357,Hosaena Health Center,Addis Ababa,Arada,Zone 3,Health Center,09551846292,9.587765393299701,36.28910942885813,Public
