facility_id,facility_name,region,woreda,zone,facility_type,phone,latitude,longitude,owner_type
MFR_000001,Dessie Clinic,Oromia,Bishoftu,Zone 3,Clinic,09336735830,10.18390181036444,35.34027960663655,NGO
MFR_000002,Bole Clinic,Amhara,Bahir Dar,Zone 4,Clinic,09223953367,11.496870933552547,33.308767414437035,Private
MFR_000003,Bahir Dar Hospital,SNNPR,Hosaena,Zone 3,Hospital,09552860080,10.409778115532598,42.17479740732421,NGO
MFR_000004,Bahir Dar Health Post,Oromia,Dukem,Zone 5,Health Post,09175285250,7.589543895205953,47.74846328710182,NGO
MFR_000005,Adama General Hospital,Oromia,Dire Dawa,Zone 1,General Hospital,09654738553,3.1591795339183983,47.13302633527279,Private
MFR_000006,Bole General Hospital,Addis Ababa,Kirkos,Zone 1,General Hospital,09323187277,10.31995989339145,45.49792367604247,Private
MFR_000007,Hawassa Referral Hospital,Amhara,Mekelle,Zone 2,Referral Hospital,09513584702,5.495299954418266,41.51550491729987,Private
MFR_000008,Dukem HP,Amhara,Dessie,Zone 4,HP,09844119117,10.174799745733022,46.82811352534675,Public
MFR_000009,Kirkos HC,SNNPR,Arba Minch,Zone 4,HC,09167055419,9.476305588668957,41.80126748495773,Public
MFR_000010,Dessie Health Center,Addis Ababa,Arada,Zone 3,Health Center,09158170987,3.187636880894327,39.351022210595545,NGO
MFR_000011,Dire Dawa Health Center,Addis Ababa,Nifas Silk,Zone 1,Health Center,09247407771,10.271519697372137,46.89451317770023,Private
MFR_000012,Butajira Hospital,Addis Ababa,Lideta,Zone 3,Hospital,09324881728,11.75527414005677,42.563362070328196,Public
MFR_000013,Addis Ababa Hospital,Oromia,Modjo,Zone 1,Hospital,09749443226,9.735326370833954,44.56450769931841,NGO
MFR_000014,Dukem Health Post,Oromia,Dukem,Zone 4,Health Post,09413331068,3.377150228240811,42.546156168956706,Private
MFR_000015,Modjo HP,Addis Ababa,Arada,Zone 4,HP,09331351509,14.314242846695773,41.98298199732804,Private
MFR_000016,Gondar Dispensary,SNNPR,Hawassa,Zone 3,Dispensary,09454066131,4.265931117963247,39.848018557243655,Private
MFR_000017,Adama General Hospital,Oromia,Bishoftu,Zone 1,General Hospital,09399583549,13.881941298549048,37.08198374076953,Public
MFR_000018,Hosaena Referral Hospital,Addis Ababa,Nifas Silk,Zone 3,Referral Hospital,09531200096,9.128967630930788,39.261165047231685,Private
MFR_000019,Modjo Referral Hospital,Amhara,Mekelle,Zone 1,Referral Hospital,09495382256,5.625170634876843,41.37153003026012,Private
MFR_000020,Gondar General Hospital,Amhara,Mekelle,Zone 3,General Hospital,09134210512,8.966982070708625,37.513174647251546,Public
MFR_000021,Bahir Dar Referral Hospital,SNNPR,Hosaena,Zone 2,Referral Hospital,09199386386,3.3966087948065806,38.176068720400245,Public
MFR_000022,Nifas Silk General Hospital,Amhara,Dessie,Zone 5,General Hospital,09350657662,11.065626568870542,44.424294229930766,Private
MFR_000023,Modjo Health Center,SNNPR,Hosaena,Zone 3,Health Center,09850910172,4.808610527585154,40.62298165111078,NGO
MFR_000024,Dukem Health Post,Amhara,Gondar,Zone 1,Health Post,09787809459,12.714012553676586,38.229989809375944,Public
MFR_000025,Hosaena HC,Amhara,Mekelle,Zone 2,HC,09194711896,13.052521270887937,43.13535175558921,NGO
MFR_000026,Dire Dawa General Hospital,Oromia,Dukem,Zone 4,General Hospital,09181450611,10.91980855241015,45.25833300301824,Public
MFR_000027,Gondar Hospital,SNNPR,Hawassa,Zone 3,Hospital,09133448674,13.805016685959966,42.49652185909902,NGO
MFR_000028,Nifas Silk Clinic,Amhara,Mekelle,Zone 4,Clinic,09133101383,13.653241185131517,45.76392673151269,Private
MFR_000029,Gondar Health Post,Amhara,Mekelle,Zone 2,Health Post,09131739356,7.467393198740917,47.102001636866675,Private
MFR_000030,Nifas Silk Health Post,SNNPR,Hosaena,Zone 1,Health Post,09187633091,10.823535114031205,36.3640396419084,Private
MFR_000031,Butajira Clinic,Addis Ababa,Addis Ketema,Zone 4,Clinic,09158491183,13.190680925930135,42.86419338450515,NGO
MFR_000032,Dire Dawa Referral Hospital,Oromia,Dire Dawa,Zone 1,Referral Hospital,09521326237,13.873185452622648,39.51591548265643,NGO
MFR_000033,Kirkos Health Post,Amhara,Bahir Dar,Zone 4,Health Post,09899595920,9.864050390510197,44.52831021459463,Private
MFR_000034,Kirkos Referral Hospital,Addis Ababa,Lideta,Zone 1,Referral Hospital,09888384476,7.441904403065333,33.23184924793301,Private
MFR_000035,Bahir Dar Health Center,Addis Ababa,Nifas Silk,Zone 1,Health Center,09841725526,3.9041550720735385,37.58545528930773,NGO
MFR_000036,Adama Referral Hospital,Amhara,Dessie,Zone 2,Referral Hospital,09873967150,11.352357560099676,41.550917551340476,NGO
MFR_000037,Hawassa Health Center,Oromia,Dukem,Zone 5,Health Center,09677607727,13.184037539096092,35.04931997163043,Private
MFR_000038,Dire Dawa HC,Oromia,Dukem,Zone 1,HC,09232268806,13.404867822961243,46.69860828834707,Public
MFR_000039,Butajira Health Post,Amhara,Bahir Dar,Zone 3,Health Post,09214183839,7.05594188221843,38.63374428959916,Public
MFR_000040,Gondar Referral Hospital,SNNPR,Butajira,Zone 3,Referral Hospital,09442576169,10.089999126828129,33.45750374908574,Public
MFR_000041,Bahir Dar Hospital,Addis Ababa,Arada,Zone 3,Hospital,09810449395,8.487181939364742,45.63034612517972,NGO
MFR_000042,Dessie HC,Amhara,Mekelle,Zone 3,HC,09199473854,9.195604179614344,37.84434709411869,Private
MFR_000043,Kirkos Hospital,Oromia,Dukem,Zone 1,Hospital,09421609076,3.970475599406372,39.42471712410162,Private
MFR_000044,Hawassa Referral Hospital,SNNPR,Hawassa,Zone 5,Referral Hospital,09566996736,11.575151072400748,42.90296065076597,NGO
MFR_000045,Kirkos Referral Hospital,Amhara,Gondar,Zone 3,Referral Hospital,09262496015,11.760471798741822,33.71574191537473,Public
MFR_000046,Dessie Hospital,SNNPR,Hawassa,Zone 5,Hospital,09679397491,4.129883859222721,37.67119964086941,Private
MFR_000047,Kirkos General Hospital,SNNPR,Arba Minch,Zone 2,General Hospital,09582193785,7.1556518530728095,39.97010719409417,Private
